restaurant,city,menu_type,category,dish,price,description,tags
Baylings,Leeuwarden,Dinner,Vlees,Ossenhaas,"39,95",Tournedos 200gr/aardappel rösti/gemengde groenten/jus,
Baylings,Leeuwarden,Dinner,Vlees,Gnocchi Kip,"24,95",kip/spinazie/champignon/zongedroogde tomaat/walnoot/Parmezaanse kaas/room,
Baylings,Leeuwarden,Dinner,Vis,Verse zalmfilet,"29,95",dilleroomsaus,
Baylings,Leeuwarden,Dinner,Vis,Zeebaars,"27,95",seizoensgarnituur/jus van Hollandse garnalen,
Baylings,Leeuwarden,Dinner,Vis,Catch of the day,"25,95",vraag naar de vangst van vandaag,
Baylings,Leeuwarden,Dinner,Vega,Gnocchi,"22,95",spinazie/champignon/zongedroogde tomaat/walnoot/Parmezaanse kaas/room,
Baylings,Leeuwarden,Dinner,Vega,Börek,"21,50",gevulde filodeeg met groenten/feta,
Baylings,Leeuwarden,Dinner,Vega,Portobello,"21,95",geitenkaas/rucola/walnoten/port siroop,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Tomatensoep,"4,50",tomaten en basilicum,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Pannenkoeken of poffertjes,"7,00",boter/poedersuiker/stroop,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Pizza margarita,"7,50",tomatensaus en kaas,
Baylings,Leeuwarden,Dinner,Kleine Gasten,Friet en Snack,"7,50","keuze uit een kroket, frikandel of kipnuggets",
Baylings,Leeuwarden,Dinner,Kleine Gasten,Kinder ijsje,"4,50",vanille ijs/discodip/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Cheescake,"9,25",sinaasappel coulis/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Créme brûlée,"8,95",wisselende smaken/vanille ijs,
Baylings,Leeuwarden,Dinner,Dessert,Hangop,"8,95",rood fruit/vanille/crumble,
Baylings,Leeuwarden,Dinner,Dessert,Chocolade moulleaux,"8,95",vanille ijs/slagroom,
Baylings,Leeuwarden,Dinner,Dessert,Sorbertijs,"8,95",3 soorten sorbetijs/op klassieke wijze geserveerd/slagroom,
